ID,采购,供应商,商品,应付总金额,收款金额,未付金额,付款日期
778,"8/14采购""SPACE IX飞天小女警收藏卡系列 《飞天小女警-第二弹》""",咸鱼,PowerPuff GirlSPACE IX飞天小女警收藏卡系列《飞天小女警-第二弹》,6194000,0,6194000,2025-08-14
777,8/13采购匠卡名侦探柯南第六弹名侦探的礼赠,咸鱼,Conan New Box匠卡名侦探柯南第六弹名侦探的礼赠,6840000,0,6840000,2025-08-13
776,8/13采购【YIYI 卡社】鬼灭之刃第一弹《战斗的瞬间！》典藏卡,咸鱼,Di?t Qu? B?n M? R?ng【YIYI 卡社】鬼灭之刃第一弹《战斗的瞬间！》典藏卡,6574000,0,6574000,2025-08-13
775,8/13采购无限城篇，决战到黎明之前吧唧,咸鱼,Di?t Qu? b?n Huy Hi?u无限城篇，决战到黎明之前吧唧,4522000,0,4522000,2025-08-13
774,8/13采购约卡YOKA鬼灭之刃·无线战役收藏卡,咸鱼,Di?t Qu? cu?c chi?n v? h?n约卡YOKA鬼灭之刃·无线战役收藏卡,5814000,0,5814000,2025-08-13
773,8/13采购御卡族鬼灭之刃第一弹,咸鱼,Di?t Qu? Tím御卡族鬼灭之刃第一弹,12198000,0,12198000,2025-08-13
772,8/13采购皇卡 x 鬼灭《血月之契》篇决战无限城收藏卡,咸鱼,Di?t Qu? VHT ver 2皇卡 x 鬼灭《血月之契》篇决战无限城收藏卡,14820000,0,14820000,2025-08-13
771,8/13采购《鬼灭之刃无限城完结篇》--神卡第一弹,咸鱼,Di?t Qu? VHT ver 1《鬼灭之刃无限城完结篇》--神卡第一弹,5700000,0,5700000,2025-08-13
770,8/13采购光年动漫鬼灭色纸第一弹,咸鱼,Di?t Qu? New Pack光年动漫鬼灭色纸第一弹,4864000,0,4864000,2025-08-13
769,8/10采购《帝丹文创》柯南撕撕乐第一弹,咸鱼,Conan Xé Xé《帝丹文创》柯南撕撕乐第一弹,4180000,0,4180000,2025-08-10
768,8/8采购幻卡文化咒术回战,咸鱼,Chú Thu?t H?i Chi?n幻卡文化咒术回战,4484000,0,4484000,2025-08-08
767,8/7采购日漫TOP群星撕撕乐,咸鱼,V? tr? Anime日漫TOP群星撕撕乐,4180000,0,4180000,2025-08-07
766,8/7采购欧梦文创鬼灭之刃,咸鱼,Di?t Qu? B?n Tr?ng欧梦文创鬼灭之刃,4180000,0,4180000,2025-08-07
765,8/7采购焰卡《龙珠》系列卡牌,咸鱼,Dragon ball Ver 1焰卡《龙珠》系列卡牌,5700000,0,5700000,2025-08-07
